tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"britpop","0","0","3","4","5","30","12","4","2","8","7","8","3"
"jazz fusion","0","0","0","0","0","0","0","1","3","10","34","23","4"
"glitch","0","0","134","364","51","49","60","93","20","61","48","93","17"
"trance","0","0","0","29","25","147","110","126","68","76","80","55","19"
"drummer","0","0","0","0","0","0","0","0","5","1","1","0","1"
"Grime","0","0","77","290","87","43","53","49","23","21","33","55","18"
"dub techno","0","0","0","0","0","0","0","0","0","0","1","2","6"
"tech house","0","0","0","0","0","2","4","2","18","9","2","3","3"
"80s","0","0","0","0","20","14","16","67","144","76","52","37","6"
"punk","0","0","0","272","60","50","44","33","33","84","47","8","8"
"Garage Rock","0","0","10","21","2","2","4","6","3","5","2","6","3"
"emo rap","0","0","0","0","0","0","0","0","0","2","0","4","1"
"Acapella","0","0","0","0","0","0","1","0","0","0","1","2","1"
"synth","0","0","0","0","0","0","0","0","0","0","5","7","1"
"reggae","0","0","0","1","162","332","176","149","75","89","127","107","26"
"chillout","0","0","0","0","0","5","2","125","58","48","85","30","16"
"malaysian","0","0","0","0","0","0","0","0","4","1","0","3","1"
"classic rock","0","0","0","0","2","11","7","21","48","181","110","55","24"
"nu-disco","0","0","52","5","5","9","16","13","16","7","30","7","4"
"neofolk","0","0","0","0","0","0","3","15","24","1","5","12","4"
"darkstep","0","0","0","138","113","40","73","40","12","18","28","6","2"
"wave","0","0","0","0","0","0","2","10","2","0","1","1","3"
"instrumental hip hop","0","0","0","0","0","0","0","11","10","9","17","7","5"
"featuring","0","0","0","0","0","0","0","0","0","8","0","2","1"
"USA","0","0","0","0","0","2","1","48","26","25","32","19","8"
"UK Garage","0","0","0","0","0","0","0","1","0","0","0","4","6"
"moombahton","0","0","29","70","23","13","23","6","10","16","18","8","11"
"folk","0","0","0","1","45","17","28","17","21","15","98","33","6"
"deep house","0","0","0","0","0","11","9","10","21","19","15","17","12"
"american","0","0","0","0","0","0","1","3","21","2","5","2","2"
"coldwave","0","0","0","0","0","0","0","0","0","1","0","0","1"
"darkwave","0","0","0","0","0","3","6","3","0","0","1","1","1"
"witch house","0","0","0","0","0","0","2","2","5","14","14","15","6"
"thrash metal","0","0","0","1","0","3","1","19","4","37","3","5","2"
"comedy","0","0","0","0","10","13","33","44","13","12","12","9","8"
"gay","0","0","0","0","0","0","18","0","0","2","1","3","1"
"bedroom pop","0","0","0","0","0","0","0","0","1","0","3","9","1"
"Disco","0","0","0","0","5","6","2","6","15","16","22","11","7"
"k-pop","0","0","0","0","0","0","0","1","2","0","1","1","1"
"black metal","0","0","23","21","6","2","9","10","14","16","8","7","2"
"90s","0","0","0","0","0","0","0","0","0","0","0","12","1"
"turntablism","0","0","0","36","21","20","58","40","8","12","19","15","2"
"8-bit","0","69","125","66","64","33","43","6","25","23","24","10","3"
"UK hip hop","0","0","0","0","0","21","15","8","1","1","8","2","1"
"Jazz Hop","0","0","0","0","0","0","0","10","4","9","6","6","1"
"chill","0","0","0","0","0","0","0","24","16","9","2","4","3"
"new wave","0","0","0","2","5","19","29","66","56","154","74","43","5"
"electronica","0","0","0","0","0","0","0","0","4","0","6","2","3"
"nu-jazz","0","0","0","0","3","6","13","4","1","2","1","1","1"
"psychedelic pop","0","0","0","0","0","0","0","0","0","3","5","0","1"
"Progressive House","0","0","2","0","14","31","22","7","10","5","7","5","7"
"mierda","0","0","0","0","0","0","0","0","0","0","1","1","1"
"Peru","0","0","0","0","0","0","0","21","1","1","1","2","2"
"mashup","0","0","0","0","0","0","0","2","1","1","1","1","1"
"acoustic","0","0","0","0","2","0","0","2","5","1","1","2","4"
"austrian","0","0","0","0","0","1","0","0","0","1","0","0","2"
"future beats","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Stoner Rock","0","0","0","0","0","0","0","0","0","12","3","40","15"
"Grunge","0","0","0","0","7","0","1","14","7","9","12","5","6"
"post-hardcore","0","0","0","0","10","7","18","13","1","14","8","6","2"
"electropop","0","0","0","0","0","0","0","35","16","20","21","30","22"
"Gangsta Rap","0","0","0","0","0","0","0","8","3","4","3","2","2"
"deathcore","0","0","0","0","4","4","1","1","1","18","14","8","5"
"ska","0","0","0","0","0","4","5","2","1","1","3","1","2"
"industrial metal","0","0","0","0","7","3","0","1","16","6","6","1","7"
"space disco","0","0","0","0","0","0","0","1","0","1","0","2","3"
"french house","0","54","26","3","1","0","0","0","0","0","101","21","1"
"Nu Metal","0","0","0","0","1","3","0","5","3","0","17","10","5"
"blues rock","0","0","0","0","0","0","0","0","0","1","0","2","1"
"chamber pop","0","0","0","0","0","0","0","0","0","0","0","0","1"
"singer-songwriter","0","0","0","0","0","2","22","22","14","21","12","21","2"
"lithuanian","0","0","0","0","0","0","0","18","1","3","2","2","2"
"Bossa Nova","0","0","0","0","0","0","0","0","1","0","0","0","3"
"death metal","0","0","0","0","0","3","0","0","0","2","3","3","3"
"video game music","0","0","0","8","0","0","2","0","14","7","3","33","5"
"afrobeat","0","0","0","0","0","0","0","0","0","0","1","0","4"
"brasil","0","0","0","0","0","0","0","0","0","0","0","0","1"
"icelandic","0","0","0","0","0","0","0","0","0","6","0","1","1"
"mexico","0","0","0","0","0","0","0","0","4","5","4","1","1"
"drone","0","0","0","0","0","0","0","0","0","0","0","1","1"
"metal","0","0","0","0","9","4","7","0","31","6","7","6","1"
"eurodance","0","0","0","0","9","7","0","26","49","8","7","4","2"
"art pop","0","0","0","0","0","0","0","0","0","0","3","19","3"
"canada","0","0","0","0","0","0","0","25","3","3","2","4","1"
"future house","0","0","0","0","0","3","0","11","8","5","7","6","1"
"contemporary jazz","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Neo-Psychedelia","0","0","0","0","0","0","0","0","0","0","0","0","1"
"southern rap","0","0","0","0","0","0","0","0","0","0","0","0","1"
"classical guitar","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Smooth Jazz","0","0","0","0","0","0","0","0","0","0","0","0","1"
"swedish","0","0","0","0","3","0","0","1","0","0","5","3","3"
"germany","0","0","0","0","2","3","0","1","2","2","1","2","1"
"russian","0","0","0","0","0","1","0","0","15","6","2","0","2"
"experimental hip hop","0","0","0","0","0","0","0","3","36","3","4","0","1"
"outsider house","0","0","0","0","0","0","0","0","0","0","1","3","1"
"absolute banger","0","0","0","0","0","0","0","0","1","2","1","3","1"
"hyperpop","0","0","0","0","0","0","0","1","2","3","59","12","6"
"progressive trance","0","0","0","0","0","0","5","2","1","0","1","0","2"
"Wonderful Women","0","0","0","0","0","0","0","0","0","0","3","2","1"
"christian","0","0","0","0","0","0","0","0","0","0","0","0","1"
"brockhampton","0","0","0","0","0","0","0","5","8","4","5","2","1"
"EDM","0","0","0","0","0","0","0","0","0","0","1","0","1"
"trip hop","0","0","0","0","0","0","0","11","4","0","3","1","1"
"pop punk","0","0","0","0","4","0","0","1","0","5","5","3","1"
"french rap","0","0","0","0","0","0","0","0","8","3","3","3","1"
"krautrock","0","0","0","0","0","1","0","0","1","0","0","6","1"
"new romantic","0","0","0","0","0","0","0","0","0","0","0","0","1"
"australia","0","0","0","0","0","0","0","2","3","8","10","5","1"
"piano","0","0","0","1","0","9","13","8","7","6","10","7","1"
"New Zealand","0","0","0","0","0","3","2","4","0","1","0","0","2"
"ninja tune","0","0","0","0","0","0","0","0","0","0","0","1","1"
"chillstep","0","0","0","0","1","0","1","0","1","0","11","2","1"
"new age","0","0","0","0","0","2","0","0","1","0","0","2","3"
"horses and ponies and unicorns too","0","0","0","0","25","28","11","3","5","9","8","2","1"
"polish","0","0","0","0","0","1","0","0","0","2","2","1","1"
"elektro-house-deep-tribal-vocal","0","0","0","0","0","0","0","0","0","0","0","2","1"
"jazzy","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Persian","0","0","0","0","0","0","0","0","0","0","0","0","1"
"atmospheric black metal","0","0","0","0","0","0","0","0","0","0","0","0","1"
"rage","0","0","0","0","0","0","0","0","0","0","0","2","1"
"JeBlueEyes","0","0","0","0","0","0","0","0","0","0","0","2"
"acid house","0","0","0","0","0","0","0","0","0","0","0","2"
"Acid","0","0","0","0","0","0","0","0","0","0","0","4"
"underground hip-hop","0","0","0","0","0","9","2","3","8","1","2","3"
"mangue beat","0","0","0","0","0","0","0","16","3","3","1","1"
"venezuela","0","0","0","0","0","0","0","0","0","0","0","7"
"jazzy hip hop","0","0","0","0","0","0","0","0","1","2","2","2"
"minimalist","0","0","0","0","0","0","10","7","0","1","7","2"
"laza","0","0","0","0","0","0","0","0","0","0","0","2"
"india","0","0","0","0","0","0","0","0","0","0","1","1"
"drumstep","0","0","0","0","0","0","3","1","2","2","1","3"
"oldies","0","0","0","0","0","0","0","0","0","0","0","2"
"rapcore","0","0","0","0","0","0","7","12","0","3","4","3"
"taiwan","0","0","0","0","0","0","0","0","0","0","3","1"
"polygenre","0","0","0","0","0","0","0","58","7","4","5","4"
"celtic","0","0","0","0","0","0","0","0","3","3","3","3"
"new rave","0","0","21","12","6","3","2","0","0","14","5","2"
"Power metal","0","0","0","0","0","0","0","0","1","0","2","14"
"Crust","0","0","0","0","0","0","0","0","0","0","2","3"
"blues","0","0","0","0","1","0","7","2","2","6","1","3"
"country","0","0","0","0","2","0","1","3","3","2","1","3"
"lofi","0","0","0","0","0","0","0","0","0","3","1","1"
"ebm","0","0","0","0","0","0","0","3","0","1","2","2"
"modern rock","0","0","0","0","0","0","0","0","0","0","0","1"
"jungle","0","0","0","0","0","1","0","0","10","3","2","2"
"ghettotech","0","0","0","0","0","0","0","0","2","0","0","6"
"doom metal","0","0","0","0","11","6","3","18","8","7","10","2"
"minimalism","0","0","0","0","0","0","0","0","2","0","2","1"
"hörspiel","0","0","0","0","0","0","0","0","0","0","0","1"
"lip sync","0","0","0","0","0","0","0","0","0","0","0","1"
"speed garage","0","0","0","0","0","0","0","0","0","0","0","2"
"lounge","0","0","0","0","0","0","2","3","0","1","6","3"
"footwork","0","0","0","0","0","1","0","0","2","0","0","2"
"dumblecore","0","0","2","0","0","38","0","0","4","2","0","10"
"Die Flippers","0","0","0","0","0","0","0","0","0","0","0","3"
"Juke","0","0","0","0","0","3","4","4","1","3","2","3"
"dark ambient","0","0","0","0","1","0","0","0","0","0","0","1"
"drums","0","0","0","0","0","0","0","0","0","0","0","1"
"Melodic Death Metal","0","0","0","0","0","0","0","0","0","0","1","2"
"Fusion","0","0","0","0","0","0","0","1","0","0","0","3"
"folk metal","0","0","0","0","0","34","7","0","0","0","0","1"
"brazil","0","0","0","0","0","0","0","0","3","6","4","2"
"future","0","0","0","0","0","0","0","0","0","1","1","3"
"spotify","0","0","0","0","0","0","0","0","0","0","0","1"
"Indian","0","0","0","0","0","0","0","0","0","0","0","1"
"musical","0","0","0","0","0","0","0","0","0","0","0","3"
"noise","0","0","0","0","0","1","5","1","0","0","1","2"
"violin","0","0","0","0","0","0","0","0","0","0","0","2"
"a cappella","0","0","0","0","0","0","0","0","0","0","0","1"
"United States","0","0","0","0","0","0","4","4","7","11","5","3"
"Death/Doom Metal","0","0","0","0","0","0","0","16","3","1","2","1"
"Excepter","0","0","0","0","0","0","0","0","0","0","0","1"
"noise rock","0","0","6","4","3","0","0","0","1","10","1","1"
"Trash","0","0","0","0","0","0","0","0","0","0","0","2"
"frenchcore","0","0","0","0","0","0","0","0","0","0","0","2"
"boy der am block chillt","0","0","0","6","12","8","1","1","2","25","3","3"
"Electroclash","0","0","5","14","2","0","3","4","3","1","0","1"
"Reggaeton","0","0","0","0","1","0","0","2","7","1","9","2"
"darkpsy","0","0","0","0","0","0","0","0","0","0","0","3"
"Hardtek","0","0","0","0","0","0","0","0","0","0","0","1"
"speedcore","0","0","4","11","0","0","0","0","0","0","0","1"
"swiss","0","0","0","0","0","0","0","0","0","0","0","1"
"Nintendocore","0","0","0","0","0","0","1","0","0","0","0","1"
"mpb","0","0","0","0","0","0","0","0","0","0","0","1"
"J-rock","0","0","0","0","0","0","0","0","1","0","0","1"
"us","0","0","0","0","0","0","0","0","0","0","0","1"
"SIC LUNATIC FAMILY","0","0","0","0","0","0","0","0","0","0","0","2"
"glitch hop","0","0","0","0","0","1","0","9","2","0","2","2"
"minimal synth","0","0","0","0","0","0","0","0","0","0","0","1"
"latin","0","0","0","0","0","3","2","2","3","2","1","1"
"uk funky","0","0","0","0","0","0","0","0","4","9","3","1"
"Lo-Fi Beat","0","0","0","0","0","0","0","0","3","8","9","2"
"breaks","0","0","0","0","0","0","0","0","1","0","0","1"
"Canadian","0","0","0","2","0","2","3","10","3","5","2","2"
"Austria","0","0","0","0","0","0","0","0","0","0","0","1"
"eurobeat","0","0","0","0","0","0","0","2","0","0","0","1"
"reggae metal","0","0","0","0","0","0","0","0","17","0","4","1"
"riot grrrl","0","0","0","0","0","0","0","0","0","0","0","1"
"jersey club","0","0","0","0","0","0","0","0","0","0","0","1"
"goregrind","0","0","0","0","0","0","0","0","0","0","0","1"
"spanish","0","0","0","0","0","0","0","0","0","1","3","1"
"Mellow","0","0","0","0","0","0","0","10","12","2","6","2"
"minimal techno","0","0","0","0","0","4","6","3","0","3","6","1"
"texas","0","0","0","0","0","0","0","0","2","0","0","1"
"Glam Metal","0","0","0","0","0","0","0","0","0","0","0","1"
"bulgarian","0","0","0","0","0","0","0","0","0","0","0","1"
"psytrance","0","0","0","0","0","0","2","2","13","7","1","3"
"france","0","0","0","0","0","2","2","3","1","0","0","1"
"turkish","0","0","0","0","0","0","0","0","1","0","2","1"
"bachata","0","0","0","0","0","0","0","0","0","0","0","1"
"cover","0","0","0","0","0","0","0","0","0","0","0","1"
"seen-live","0","0","0","0","0","0","3","4","0","1","0","1"
"Funk Rock","0","0","0","0","0","0","0","0","4","12","10","1"
"Sludge","0","0","0","0","0","0","0","0","0","0","1","1"
"brazilian","0","0","0","0","0","0","0","0","0","1","2","2"
"south africa","0","0","0","0","0","0","0","0","13","1","0","1"
"dancehall","0","0","0","0","2","0","0","5","1","4","11","5"
"contemporary classical","0","0","0","0","0","0","1","0","0","0","0","1"
"synthesizer","0","0","0","0","0","0","2","50","47","15","0","21"
"Gothic Rock","0","0","0","0","0","0","0","0","0","0","3","1"
"vada vada","0","0","0","0","0","0","0","0","0","1","0","1"
"christmas","0","0","0","0","0","0","0","0","0","1","1"
"Ukrainian","0","0","0","0","0","0","0","3","0","0","1"
"Rock and Roll","0","0","0","0","0","0","0","0","1","0","2"
"calm","0","0","0","0","0","0","0","0","1","0","1"
"kinderlieder","0","0","0","0","0","6","0","0","0","0","1"
"indie folk","0","0","0","0","0","0","0","0","0","0","1"
"G-funk","0","0","0","0","0","0","0","0","0","0","1"
"sxsw 2016","0","0","0","0","0","1","0","4","0","1","2"
