tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Electronic,1,1,1,1,1,1,1,2,2,1,1,1,1
Hip-Hop,,,,5,,3,2,1,1,2,2,2,2
Dubstep,5,3,4,2,2,2,3,3,,4,3,,3
Rap,,,,,,,,4,5,,,5,4
Trip-Hop,,,,,,,,,,,4,4,5
Dank,,,,,,,,,,3,,,
Electro,,,2,3,4,5,,,4,5,,,
Chillwave,,,,,,,,,,,5,3,
Alternative,2,5,,,,,4,,,,,,
Drum and Bass,3,4,3,4,3,4,5,,,,,,
House,4,2,5,,5,,,,,,,,
RnB,,,,,,,,5,3,,,,
